token_id,market,equipment,boost,location,skill,minted,image,owner
131,bigbangx,Jackhammer,Rapid Strike,Jungle Night,123,1/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/JRJ.jpg,terra1q3w2jplythhlnev00tphml7fp0ekszyfaw5fgw
132,bigbangx,Pick & Shovel,Standard,Deep Mine,100,1/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSM.jpg,terra1v08a9t3faglh7f0zw6e32cmx8rzm68sdjkvscr
133,bigbangx,Pick & Shovel,Standard,Deep Mine,100,1/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSM.jpg,terra1v08a9t3faglh7f0zw6e32cmx8rzm68sdjkvscr
134,bigbangx,TNT,Timed Detonation,Jungle Night,137,1/30/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TTJ.jpg,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
135,bigbangx,TNT,Standard,Deep Mine,133,1/30/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TSM.jpg,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
136,bigbangx,Pick & Shovel,Standard,Jungle Night,100,2/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSJ.jpg,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
137,bigbangx,Pick & Shovel,Standard,Jungle Night,100,2/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSJ.jpg,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
138,bigbangx,Pick & Shovel,Standard,Jungle Night,100,2/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSJ.jpg,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
139,bigbangx,Pick & Shovel,Standard,Jungle Night,100,2/2/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PSJ.jpg,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
140,bigbangx,TNT,Timed Detonation,Lunar Moon,137,2/4/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/TTL.jpg,terra1ml09kq4qpste4rdyhqq7d4hx3mlnv52p84w9cu
141,bigbangx,Pick & Shovel,Diamond,Jungle Night,107,2/9/2024,https://raw.githubusercontent.com/lbunproject/BASEswap-api-price/main/public/nft_img/PDJ.jpg,terra1lfrujzrryjmgcfvdnzj084yffqkm07sxh7ckvw
142,bigbangx,TNT,Timed Detonation,Jungle Night,137,3/2/2024,https://w3s.link/ipfs/bafybeidtwzdx3x74glywwi2ywsxmtghhhetkpkmdk626ncu665aj4u5ekq/26.png,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
143,bigbangx,TNT,Timed Detonation,Jungle Night,137,3/2/2024,https://w3s.link/ipfs/bafybeidtwzdx3x74glywwi2ywsxmtghhhetkpkmdk626ncu665aj4u5ekq/26.png,terra1he5d7vstkw6kq9zecaexh9glkc0c6pfzskgqp8
144,bigbangx,Pick & Shovel,Standard,Jungle Night,100,3/14/2024,https://w3s.link/ipfs/bafybeidysinrp6cq34zgjnupn2etplpqc4ymusahjk7mdnjl2vjuyi3x4a/62.png,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
145,bigbangx,Pick & Shovel,Standard,Jungle Night,100,3/14/2024,https://w3s.link/ipfs/bafybeidysinrp6cq34zgjnupn2etplpqc4ymusahjk7mdnjl2vjuyi3x4a/62.png,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
146,bigbangx,TNT,Timed Detonation,Lunar Moon,137,4/8/2024,https://w3s.link/ipfs/bafybeiaw4zvkpy2k7fyxscauxlv4jk2h3ltwwb3kotp45oxoqxljg7nvbq/25.png,terra154ns0jnajcjvc4wjjrza020gaux2lzd7rwaf45
147,bigbangx,TNT,Timed Detonation,Lunar Moon,137,4/29/2024,https://w3s.link/ipfs/bafybeiaw4zvkpy2k7fyxscauxlv4jk2h3ltwwb3kotp45oxoqxljg7nvbq/25.png,terra1354fs7e32l7nh4xx3mh5mhr3ytjtq5efx7ut5h
148,bigbangx,Pick & Shovel,Jedi,City Night,113,5/12/2024,https://w3s.link/ipfs/bafybeiduch75xkwqvo4nj3uqqnvmihq52eioflfftcjr2equb5v5yhad4u/51.png,terra1lfrujzrryjmgcfvdnzj084yffqkm07sxh7ckvw
1,miata,Jackhammer,Shockwave,City Night,130,1/1/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW1.png,terra14yuj6q5rps3zp9vn7yr7uzlfrrakkkcrhxzsz8
2,miata,Jackhammer,Shockwave,City Night,130,4/6/2024,https://ipfs.miata-ipfs.com/ipfs/QmPKJeMaskd5qb5x8bbCLiWmNxj6ffu3WHJ3M4cKsSQDoc/JHSW2.png,terra199jlusyxpj7p5s9emw62fedjp7j3frw0nk3h5q
